Company,Ticker,DATE,EPS_MEAN_EST,EPS_ACT,EPS_STD_EST,FISC_YEAR,FISC_QTR,CAL_YEAR,CAL_QTR,ACT_RPT_CODE,SALES_ACT,SALES_MEAN_EST,SALES_AMT_DIFF_SURP,SALES_PCT_DIFF_SURP,SALES_STD_DEV_EST
Sealed Air Corp,SEE,10/27/15,0.57,0.7,0.03,2015,3,2015,3,BTO,1746.2,1769.7,-23.5,-1.327,15.587
Sherwin-Williams Co,SHW,10/29/15,3.89,3.97,0.04,2015,3,2015,3,BTO,3152.285,3223.55,-71.265,-2.21,41.224
Signet Jewelers Ltd,SIG,11/24/15,0.38,0.33,0.01,2016,3,2015,4,BTO,1410.6,1460.1,-49.5,-3.39,0
Simon Property Group A,SPG,10/27/15,2.46,2.54,0.02,2015,3,2015,3,BTO,1320.137,1252.698,67.439,5.383,48
Skyworks Solutions Inc,SWKS,11/5/15,1.39,1.39,0.01,2015,4,2015,3,AMC,880.8,877.675,3.125,0.356,2.71
Smucker J.M. Co,SJM,11/19/15,1.52,1.62,0.01,2016,2,2015,4,BTO,1952,1893.978,58.022,3.063,37.832
Snap On Inc,SNA,10/22/15,1.93,1.98,0.05,2015,3,2015,3,BTO,821.5,840.184,-18.684,-2.223,9.763
Southern Co,SO,10/28/15,1.16,1.17,0.03,2015,3,2015,3,BTO,5401,5665.015,-264.015,-4.66,111.701
Southwest Airlines Co,LUV,10/22/15,0.92,0.94,0.02,2015,3,2015,3,BTO,5318,5101.686,216.314,4.24,15.041
Southwestern Energy Co,SWN,10/22/15,-0.03,0.01,0.04,2015,3,2015,3,AMC,749,811.119,-62.119,-7.658,59.355
Spectra Energy Corp,SE,11/4/15,0.23,0.23,0.02,2015,3,2015,3,BTO,1103,1284.145,-181.145,-14.106,0
St Jude Medical Inc,STJ,10/21/15,0.97,0.97,0.01,2015,3,2015,3,BTO,1339,1347.239,-8.239,-0.611,8.09
Stanley Black & Decker,SWK,10/22/15,1.52,1.62,0.02,2015,3,2015,3,BTO,2829.5,2808.514,20.986,0.747,64.952
Staples Inc,SPLS,11/18/15,0.35,0.35,0.01,2016,3,2015,4,BTO,5593,5674.92,-81.92,-1.443,55.416
Starbucks Corp,SBUX,10/29/15,0.44,0.43,0.01,2015,4,2015,3,AMC,4914.8,4887.627,27.173,0.555,57.545
Starwood Hotel & Resort World,HOT,10/28/15,0.72,0.74,0.03,2015,3,2015,3,BTO,1434,1430.436,3.564,0.249,39.313
State Street Corp,STT,10/23/15,1.25,1.16,0.04,2015,3,2015,3,BTO,2722,2708.884,-89.884,-3.318,59.517
Stericycle Inc,SRCL,10/22/15,1.18,1.08,0.01,2015,3,2015,3,AMC,718.596,734.601,-16.005,-2.178,5.804
